2025-03-13 23:25:35,793 INFO    MainThread:1 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_setup.py:_flush():67] Configure stats pid to 1
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_setup.py:_flush():67] Loading settings from /root/.config/wandb/settings
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_setup.py:_flush():67] Loading settings from /app/wandb/settings
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /app/wandb/run-20250313_232535-w3s3b36n/logs/debug.log
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /app/wandb/run-20250313_232535-w3s3b36n/logs/debug-internal.log
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_init.py:init():761] calling init triggers
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-stockfish-small-8', 'eval_interval': 4000, 'log_interval': 50, 'eval_iters': 100, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'resume', 'wandb_id': 'w3s3b36n', 'wandb_log': True, 'wandb_project': 'chess-gpt', 'wandb_run_name': 'stockfish-small-8', 'dataset': 'hf_dataset_stockfish', 'gradient_accumulation_steps': 4, 'batch_size': 32, 'block_size': 1023, 'n_layer': 8, 'n_head': 8, 'n_embd': 512, 'dropout': 0.0, 'bias': False, 'learning_rate': 0.0003, 'max_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 3e-05, 'backend': 'nccl', 'device': 'cuda:1', 'dtype': 'bfloat16', 'compile': False, '_wandb': {}}
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_init.py:init():784] starting backend
2025-03-13 23:25:35,794 INFO    MainThread:1 [wandb_init.py:init():788] sending inform_init request
2025-03-13 23:25:35,796 INFO    MainThread:1 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-13 23:25:35,796 INFO    MainThread:1 [wandb_init.py:init():798] backend started and connected
2025-03-13 23:25:35,797 INFO    MainThread:1 [wandb_init.py:init():891] updated telemetry
2025-03-13 23:25:35,798 INFO    MainThread:1 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-13 23:25:36,552 INFO    MainThread:1 [wandb_init.py:init():985] run resumed
2025-03-13 23:25:36,553 INFO    MainThread:1 [wandb_init.py:init():990] starting run threads in backend
2025-03-13 23:25:36,644 INFO    MainThread:1 [wandb_run.py:_console_start():2375] atexit reg
2025-03-13 23:25:36,644 INFO    MainThread:1 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-13 23:25:36,644 INFO    MainThread:1 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-13 23:25:36,644 INFO    MainThread:1 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-13 23:25:36,645 INFO    MainThread:1 [wandb_init.py:init():1032] run started, returning control to user process
